City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,dadukou,26.5479,101.7054,18.0,86,100,0.56,CN,1686703161
155,argo,37.6333,22.7333,19.32,78,77,0.87,GR,1686703161
156,weno,7.4515,151.8468,30.97,74,75,4.63,FM,1686703161
157,wailua homesteads,22.0669,-159.378,26.24,82,75,6.69,US,1686703161
158,kaedi,16.1465,-13.5047,31.93,30,100,8.84,MR,1686703161
159,nelson bay,-32.7167,152.15,16.16,61,0,3.58,AU,1686703161
160,roccella ionica,38.322,16.4009,21.11,69,95,1.76,IT,1686703161
161,semnan,35.5729,53.3971,26.22,33,83,1.43,IR,1686703161
162,san salvador de jujuy,-24.1946,-65.2971,4.74,65,63,1.98,AR,1686702963
163,iskateley,67.6803,53.1512,5.88,65,100,7.94,RU,1686703162
164,rawatsar,29.2833,74.3833,33.84,42,0,8.71,IN,1686703162
165,pont-a-mousson,48.9079,6.0589,18.95,68,0,4.12,FR,1686703162
166,amga,60.8953,131.9608,5.48,94,100,2.78,RU,1686703162
167,longyearbyen,78.2186,15.6401,2.91,75,20,2.57,SJ,1686702913
168,bilibino,68.0546,166.4372,4.92,48,100,9.62,RU,1686703162
169,saipan,15.1355,145.701,31.39,100,40,6.17,MP,1686703162
170,bandarbeyla,9.4942,50.8122,25.79,78,100,11.48,SO,1686703162
171,zaranj,30.9667,61.8833,30.98,18,0,6.33,AF,1686703162
172,klaksvik,62.2266,-6.589,8.51,62,100,2.88,FO,1686703162
173,villa ojo de agua,-29.5,-63.6938,5.43,47,0,1.43,AR,1686703162
174,saynshand,44.8824,110.1163,28.42,11,1,5.1,MN,1686703163
175,glace bay,46.1969,-59.957,13.83,81,100,2.68,CA,1686703163
176,cole harbour,44.6724,-63.4751,18.66,88,75,3.09,CA,1686703163
177,haiku-pauwela,20.9219,-156.3051,28.43,61,75,9.77,US,1686703163
178,margaret river,-33.95,115.0667,13.96,68,34,4.65,AU,1686703163
179,san antonio de pale,-1.4014,5.6325,24.67,86,6,5.76,GQ,1686703163
180,ambon,-3.6954,128.1814,28.26,83,40,2.06,ID,1686703163
181,lichinga,-13.3128,35.2406,16.05,82,0,2.57,MZ,1686703163
182,nachingwea,-10.3833,38.7667,17.11,95,0,0.49,TZ,1686703163
183,nova sintra,14.8667,-24.7167,21.29,84,5,7.24,CV,1686703164
184,pasni,25.2631,63.471,29.11,85,100,6.12,PK,1686703164
185,labytnangi,66.6572,66.4183,11.46,74,100,5.6,RU,1686703164
186,gamba,-2.65,10.0,22.5,96,88,2.28,GA,1686703164
187,olonkinbyen,70.9221,-8.7187,2.63,93,100,9.29,SJ,1686703164
188,port hope,43.9408,-82.7127,14.42,88,8,4.12,US,1686703164
189,itoman,26.1247,127.6694,26.01,92,75,5.14,JP,1686703164
190,newman,37.3138,-121.0208,30.69,32,10,2.24,US,1686703164
